dates,territorial_emissions,consumption_emissions,,
01/01/1990,778.81,943.67,,
01/01/1991,786.3,930.19,,
01/01/1992,762.46,916.64,,
01/01/1993,743.59,881.56,,
01/01/1994,733.51,896.12,,
01/01/1995,726.76,907.26,,
01/01/1996,748.2,947.11,,
01/01/1997,723.82,960.29,,
01/01/1998,722.99,991.69,,
01/01/1999,692.18,966.8,,
01/01/2000,693.69,979.79,,
01/01/2001,699.21,980.58,,
01/01/2002,680.63,1003.51,,
01/01/2003,687.04,1023.17,,
01/01/2004,684.16,1072.8,,
01/01/2005,678.25,1064.74,,
01/01/2006,675.55,1063.74,,
01/01/2007,666.08,1091.41,,
01/01/2008,646.74,992.45,,
01/01/2009,593.38,888.88,,
01/01/2010,609.15,903.82,,
01/01/2011,566.27,849.72,,
01/01/2012,584.3,863.91,,
01/01/2013,572.57,868.90,,
01/01/2014,560.83,853.51,,
01/01/2015,549.11,838.11,,
01/01/2016,533.42,804.71,,
01/01/2017,517.74,771.33,,
01/01/2018,502.04,737.94,,
01/01/2019,486.35,704.56,,
01/01/2020,470.67,671.16,,
01/01/2021,454.98,640.26,,
01/01/2022,439.28,609.36,,
01/01/2023,423.60,578.45,,
01/01/2024,407.91,547.55,,
01/01/2025,392.21,516.65,,
01/01/2026,376.53,488.82,,
01/01/2027,360.84,460.99,,
01/01/2028,345.15,433.16,,
01/01/2029,329.47,405.33,,
01/01/2030,313.77,377.51,,
01/01/2031,298.09,355.67,,
01/01/2032,282.40,333.84,,
01/01/2033,266.71,312.00,,
01/01/2034,251.03,290.16,,
01/01/2035,235.33,268.33,,
01/01/2036,219.64,248.58,,
01/01/2037,203.96,228.83,,
01/01/2038,188.27,209.08,,
01/01/2039,172.57,189.32,,
01/01/2040,156.89,169.57,,
01/01/2041,141.20,153.51,,
01/01/2042,125.51,137.46,,
01/01/2043,109.83,121.40,,
01/01/2044,94.13,105.34,,
01/01/2045,78.44,89.27,,
01/01/2046,62.76,71.42,,
01/01/2047,47.07,53.56,,
01/01/2048,31.37,35.71,,
01/01/2049,15.69,17.85,,
01/01/2050,0.00,0.00,,
